1.666666666666668239e-01	4.166666666666665741e-01	6.779661016949151131e-02	4.166666666666667823e-02
1.111111111111112021e-01	5.000000000000000000e-01	5.084745762711865430e-02	4.166666666666667823e-02
8.333333333333325932e-02	4.583333333333332038e-01	8.474576271186440302e-02	4.166666666666667823e-02
1.944444444444444753e-01	6.666666666666665186e-01	6.779661016949151131e-02	4.166666666666667823e-02
3.055555555555556357e-01	7.916666666666665186e-01	1.186440677966101725e-01	1.250000000000000278e-01
8.333333333333325932e-02	5.833333333333331483e-01	6.779661016949151131e-02	8.333333333333331483e-02
1.944444444444444753e-01	5.833333333333331483e-01	8.474576271186440302e-02	4.166666666666667823e-02
2.777777777777791848e-02	3.749999999999999445e-01	6.779661016949151131e-02	4.166666666666667823e-02
1.666666666666668239e-01	4.583333333333332038e-01	8.474576271186440302e-02	0.000000000000000000e+00
3.055555555555556357e-01	7.083333333333331483e-01	8.474576271186440302e-02	4.166666666666667823e-02
1.388888888888888673e-01	5.833333333333331483e-01	1.016949152542372808e-01	4.166666666666667823e-02
1.388888888888888673e-01	4.166666666666665741e-01	6.779661016949151131e-02	0.000000000000000000e+00
0.000000000000000000e+00	4.166666666666665741e-01	1.694915254237289517e-02	0.000000000000000000e+00
4.166666666666665741e-01	8.333333333333331483e-01	3.389830508474575566e-02	4.166666666666667823e-02
3.888888888888889506e-01	1.000000000000000000e+00	8.474576271186440302e-02	1.250000000000000278e-01
3.055555555555556357e-01	7.916666666666665186e-01	5.084745762711865430e-02	1.250000000000000278e-01
2.222222222222220711e-01	6.249999999999998890e-01	6.779661016949151131e-02	8.333333333333331483e-02
3.888888888888889506e-01	7.499999999999996669e-01	1.186440677966101725e-01	8.333333333333331483e-02
2.222222222222220711e-01	7.499999999999996669e-01	8.474576271186440302e-02	8.333333333333331483e-02
3.055555555555556357e-01	5.833333333333331483e-01	1.186440677966101725e-01	4.166666666666667823e-02
2.222222222222220711e-01	7.083333333333331483e-01	8.474576271186440302e-02	1.250000000000000278e-01
8.333333333333325932e-02	6.666666666666665186e-01	0.000000000000000000e+00	4.166666666666667823e-02
2.222222222222220711e-01	5.416666666666665186e-01	1.186440677966101725e-01	1.666666666666667129e-01
1.388888888888888673e-01	5.833333333333331483e-01	1.525423728813558866e-01	4.166666666666667823e-02
1.944444444444444753e-01	4.166666666666665741e-01	1.016949152542372808e-01	4.166666666666667823e-02
1.944444444444444753e-01	5.833333333333331483e-01	1.016949152542372808e-01	1.250000000000000278e-01
